Ward No,Ward Name,Zone Name
192,TRILOKPURI,South Shahdara
193,KONDLI,South Shahdara
194,GHAROLI,South Shahdara
195,KALYANPURI,South Shahdara
196,MAYUR VIHAR PHASE-II,South Shahdara
197,PATPAR GANJ,South Shahdara
198,VINOD NAGAR,South Shahdara
199,MANDAWALI,South Shahdara
200,PANDAV NAGAR,South Shahdara
201,LALITA PARK,South Shahdara
202,SHAKARPUR,South Shahdara
203,LAXMI NAGAR,South Shahdara
204,PREET VIHAR,South Shahdara
205,I.P. EXTENSION,South Shahdara
206,ANAND VIHAR,South Shahdara
207,VISHWAS NAGAR,South Shahdara
208,ANARKALI,South Shahdara
209,JAGAT PURI,South Shahdara
210,GEETA COLONY,South Shahdara
211,KRISHNA NAGAR,South Shahdara
212,GANDHI NAGAR,South Shahdara
213,SHASTRI PARK,South Shahdara
214,AZAD NAGAR,South Shahdara
215,SHAHDARA,South Shahdara
216,JHILMIL,South Shahdara
217,DILSHAD COLONY,South Shahdara
218,SUNDAR NAGRI,North Shahdara
219,DILSHAD GARDEN,North Shahdara
220,NAND NAGRI,North Shahdara
221,ASHOK NAGAR,North Shahdara
222,RAM NAGAR EAST,North Shahdara
223,ROHTASH NAGAR,North Shahdara
224,WELCOME COLONY,North Shahdara
225,SEELAMPUR,North Shahdara
226,GAUTAM PURI,North Shahdara
227,CHAUHAN BANGER,North Shahdara
228,MAUJPUR,North Shahdara
229,BRAHAM PURI,North Shahdara
230,BHAJANPURA,North Shahdara
231,GHONDA,North Shahdara
232,YAMUNA VIHAR,North Shahdara
233,SUBHASH MOHALLA,North Shahdara
234,KABIR NAGAR,North Shahdara
235,GORAKH PARK,North Shahdara
236,KARDAM PURI,North Shahdara
237,HARSH VIHAR,North Shahdara
238,SABOLI,North Shahdara
239,GOKAL PURI,North Shahdara
240,JOHARIPUR,North Shahdara
241,KARAWAL NAGAR-EAST,North Shahdara
242,DAYALPUR,North Shahdara
243,MUSTAFABAD,North Shahdara
244,NEHRU VIHAR,North Shahdara
245,BRIJ PURI,North Shahdara
246,SRI RAM COLONY,North Shahdara
247,SADATPUR,North Shahdara
248,KARAWAL NAGAR-WEST,North Shahdara
249,SONIA VIHAR,North Shahdara
250,SABAPUR,North Shahdara
